country,FAO_2000_Mha,bin
Afghanistan,1.209,Low (< 4 Mha)
Albania,0.769,Low (< 4 Mha)
Algeria,1.708,Low (< 4 Mha)
Andorra,0.017,Low (< 4 Mha)
Angola,76.013,High (> 37 Mha)
Antigua & Barbuda,0.009,Low (< 4 Mha)
Argentina,53.442,High (> 37 Mha)
Armenia,0.333,Low (< 4 Mha)
Australia,132.907,High (> 37 Mha)
Austria,3.838,Low (< 4 Mha)
Azerbaijan,0.987,Low (< 4 Mha)
"Bahamas, The",0.51,Low (< 4 Mha)
Bahrain,0.001,Low (< 4 Mha)
Bangladesh,1.92,Low (< 4 Mha)
Barbados,0.006,Low (< 4 Mha)
Belarus,8.273,Medium (4-37 Mha)
Belgium,0.667,Low (< 4 Mha)
Belize,1.504,Low (< 4 Mha)
Benin,5.674,Medium (4-37 Mha)
Bhutan,2.606,Low (< 4 Mha)
Bolivia,59.086,High (> 37 Mha)
Bosnia & Herzegovina,2.112,Low (< 4 Mha)
Botswana,15.728,Medium (4-37 Mha)
Brazil,560.72,High (> 37 Mha)
Brunei,0.397,Low (< 4 Mha)
Bulgaria,3.375,Low (< 4 Mha)
Burkina Faso,6.378,Medium (4-37 Mha)
Burundi,0.194,Low (< 4 Mha)
Cabo Verde,0.038,Low (< 4 Mha)
Cambodia,10.781,Medium (4-37 Mha)
Cameroon,21.597,Medium (4-37 Mha)
Canada,360.305,High (> 37 Mha)
Central African Rep,46.085,High (> 37 Mha)
Chad,6.353,Medium (4-37 Mha)
Chile,17.425,Medium (4-37 Mha)
China,177.001,High (> 37 Mha)
Colombia,62.57,High (> 37 Mha)
Comoros,0.043,Low (< 4 Mha)
Rep of the Congo,22.135,Medium (4-37 Mha)
Cook Is,0.016,Low (< 4 Mha)
Costa Rica,2.849,Low (< 4 Mha)
Cote d'Ivoire,6.163,Medium (4-37 Mha)
Croatia,1.885,Low (< 4 Mha)
Cuba,2.699,Low (< 4 Mha)
Cyprus,0.172,Low (< 4 Mha)
Czechia,2.865,Low (< 4 Mha)
"Korea, North",7.455,Medium (4-37 Mha)
Dem Rep of the Congo,153.79,High (> 37 Mha)
Denmark,0.572,Low (< 4 Mha)
Djibouti,0.006,Low (< 4 Mha)
Dominica,0.059,Low (< 4 Mha)
Dominican Republic,2.166,Low (< 4 Mha)
Ecuador,13.731,Medium (4-37 Mha)
Egypt,0.004,Low (< 4 Mha)
El Salvador,0.706,Low (< 4 Mha)
Equatorial Guinea,2.616,Low (< 4 Mha)
Eritrea,1.592,Low (< 4 Mha)
Estonia,2.239,Low (< 4 Mha)
Swaziland,0.471,Low (< 4 Mha)
Ethiopia,27.809,Medium (4-37 Mha)
Fiji,1.006,Low (< 4 Mha)
Finland,22.446,Medium (4-37 Mha)
France,15.288,Medium (4-37 Mha)
Gabon,23.702,Medium (4-37 Mha)
"Gambia, The",0.358,Low (< 4 Mha)
Georgia,3.039,Low (< 4 Mha)
Germany,11.354,Medium (4-37 Mha)
Ghana,6.163,Medium (4-37 Mha)
Greece,3.709,Low (< 4 Mha)
Grenada,0.018,Low (< 4 Mha)
Guatemala,4.227,Medium (4-37 Mha)
Guinea,6.532,Medium (4-37 Mha)
Guinea-Bissau,2.207,Low (< 4 Mha)
Guyana,18.564,Medium (4-37 Mha)
Haiti,0.384,Low (< 4 Mha)
Honduras,7.129,Medium (4-37 Mha)
Hungary,1.921,Low (< 4 Mha)
Iceland,0.032,Low (< 4 Mha)
India,67.591,High (> 37 Mha)
Indonesia,91.959,High (> 37 Mha)
Iran,10.751,Medium (4-37 Mha)
Iraq,0.818,Low (< 4 Mha)
Ireland,0.63,Low (< 4 Mha)
Israel,0.153,Low (< 4 Mha)
Italy,8.369,Medium (4-37 Mha)
Jamaica,0.521,Low (< 4 Mha)
Japan,24.876,Medium (4-37 Mha)
Jordan,0.071,Low (< 4 Mha)
Kazakhstan,3.157,Low (< 4 Mha)
Kenya,3.816,Low (< 4 Mha)
Kiribati,0.001,Low (< 4 Mha)
Kuwait,0.005,Low (< 4 Mha)
Kyrgyzstan,1.181,Low (< 4 Mha)
Laos,14.05,Medium (4-37 Mha)
Latvia,3.241,Low (< 4 Mha)
Lebanon,0.139,Low (< 4 Mha)
Lesotho,0.035,Low (< 4 Mha)
Liberia,8.009,Medium (4-37 Mha)
Libya,0.214,Low (< 4 Mha)
Liechtenstein,0.005,Low (< 4 Mha)
Lithuania,2.02,Low (< 4 Mha)
Luxembourg,0.087,Low (< 4 Mha)
Madagascar,13.014,Medium (4-37 Mha)
Malawi,3.082,Low (< 4 Mha)
Malaysia,19.691,Medium (4-37 Mha)
Maldives,0.004,Low (< 4 Mha)
Mali,12.993,Medium (4-37 Mha)
Malta,0.0,
Marshall Is,0.009,Low (< 4 Mha)
Mauritania,0.953,Low (< 4 Mha)
Mauritius,0.042,Low (< 4 Mha)
Mexico,69.594,High (> 37 Mha)
Fed States of Micronesia,0.064,Low (< 4 Mha)
Monaco,0.0,
Mongolia,14.264,Medium (4-37 Mha)
Montenegro,0.626,Low (< 4 Mha)
Morocco,5.699,Medium (4-37 Mha)
Mozambique,38.919,High (> 37 Mha)
Burma,34.868,Medium (4-37 Mha)
Namibia,8.059,Medium (4-37 Mha)
Nauru,0.0,
Nepal,5.916,Medium (4-37 Mha)
Netherlands,0.36,Low (< 4 Mha)
New Zealand,9.85,Medium (4-37 Mha)
Nicaragua,6.106,Medium (4-37 Mha)
Niger,1.328,Low (< 4 Mha)
Nigeria,20.302,Medium (4-37 Mha)
Niue,0.019,Low (< 4 Mha)
Macedonia,0.958,Low (< 4 Mha)
Norway,12.198,Medium (4-37 Mha)
Oman,0.002,Low (< 4 Mha)
Pakistan,3.317,Low (< 4 Mha)
Palau,0.04,Low (< 4 Mha)
West Bank,0.009,Low (< 4 Mha)
Panama,4.791,Medium (4-37 Mha)
Papua New Guinea,34.395,Medium (4-37 Mha)
Paraguay,21.91,Medium (4-37 Mha)
Peru,74.045,High (> 37 Mha)
Philippines,7.309,Medium (4-37 Mha)
Poland,9.059,Medium (4-37 Mha)
Portugal,3.349,Low (< 4 Mha)
Qatar,0.001,Low (< 4 Mha)
"Korea, South",6.476,Medium (4-37 Mha)
Moldova,0.344,Low (< 4 Mha)
Romania,6.366,Medium (4-37 Mha)
Russia,812.445,High (> 37 Mha)
Rwanda,0.409,Low (< 4 Mha)
St Kitts & Nevis,0.011,Low (< 4 Mha)
Saint Lucia,0.029,Low (< 4 Mha)
St Vincent & the Grenadines,0.029,Low (< 4 Mha)
Samoa,0.172,Low (< 4 Mha)
San Marino,0.001,Low (< 4 Mha)
Sao Tome & Principe,0.059,Low (< 4 Mha)
Saudi Arabia,2.768,Low (< 4 Mha)
Senegal,9.038,Medium (4-37 Mha)
Serbia,2.483,Low (< 4 Mha)
Seychelles,0.032,Low (< 4 Mha)
Sierra Leone,2.929,Low (< 4 Mha)
Singapore,0.017,Low (< 4 Mha)
Slovakia,1.901,Low (< 4 Mha)
Slovenia,1.233,Low (< 4 Mha)
Solomon Is,2.532,Low (< 4 Mha)
Somalia,7.516,Medium (4-37 Mha)
South Africa,20.692,Medium (4-37 Mha)
Spain,17.094,Medium (4-37 Mha)
Sri Lanka,2.231,Low (< 4 Mha)
Sudan,26.334,Medium (4-37 Mha)
Suriname,14.902,Medium (4-37 Mha)
Sweden,28.163,Medium (4-37 Mha)
Switzerland,1.196,Low (< 4 Mha)
Syria,0.461,Low (< 4 Mha)
Tajikistan,0.41,Low (< 4 Mha)
Thailand,20.165,Medium (4-37 Mha)
Timor-Leste,1.087,Low (< 4 Mha)
Togo,1.268,Low (< 4 Mha)
Tonga,0.009,Low (< 4 Mha)
Trinidad & Tobago,0.237,Low (< 4 Mha)
Tunisia,0.668,Low (< 4 Mha)
Turkey,20.148,Medium (4-37 Mha)
Turkmenistan,2.33,Low (< 4 Mha)
Tuvalu,0.001,Low (< 4 Mha)
Uganda,3.401,Low (< 4 Mha)
Ukraine,9.51,Medium (4-37 Mha)
United Arab Emirates,0.315,Low (< 4 Mha)
United Kingdom,2.954,Low (< 4 Mha)
Tanzania,54.135,High (> 37 Mha)
United States,303.536,High (> 37 Mha)
Uruguay,1.336,Low (< 4 Mha)
Uzbekistan,2.961,Low (< 4 Mha)
Vanuatu,0.967,Low (< 4 Mha)
Venezuela,49.232,High (> 37 Mha)
Vietnam,11.784,Medium (4-37 Mha)
Yemen,0.549,Low (< 4 Mha)
Zambia,47.054,High (> 37 Mha)
Zimbabwe,15.658,Medium (4-37 Mha)
